peptide,gene_id,treatment,timepoint,bio_rep,abundance
pep_0003,gene_001,ctrl,0h,3,57.24854974856053
pep_0003,gene_001,ctrl,0h,4,12.882638908995922
pep_0003,gene_001,ctrl,0h,5,72.15860748204558
pep_0003,gene_001,ctrl,0h,6,28.01710344269995
pep_0003,gene_001,ctrl,24h,1,87.41882250227613
pep_0003,gene_001,ctrl,24h,2,69.04216045698062
pep_0003,gene_001,ctrl,24h,3,62.16531692239406
pep_0003,gene_001,ctrl,24h,4,39.89850235096725
pep_0003,gene_001,ctrl,24h,5,65.49669515166538
pep_0003,gene_001,ctrl,24h,6,33.502572762428365
pep_0003,gene_001,ctrl,6h,1,11.912454653498767
pep_0003,gene_001,ctrl,6h,2,26.48134522298105
pep_0003,gene_001,ctrl,6h,3,24.403283726369597
pep_0003,gene_001,ctrl,6h,4,61.70465736478151
pep_0003,gene_001,ctrl,6h,5,41.68495569228584
pep_0003,gene_001,ctrl,6h,6,75.02045807373781
pep_0003,gene_001,drug,0h,1,48.24480843175503
pep_0003,gene_001,drug,0h,2,23.275385059259335
pep_0003,gene_001,drug,0h,3,68.23728522455119
pep_0003,gene_001,drug,0h,4,38.5332670681752
pep_0003,gene_001,drug,0h,5,63.82558361997309
pep_0003,gene_001,drug,0h,6,28.52040023903036
pep_0003,gene_001,drug,24h,1,235.5266967252221
pep_0003,gene_001,drug,24h,2,238.67260018989086
pep_0003,gene_001,drug,24h,3,228.86627066193626
pep_0003,gene_001,drug,24h,4,211.51383549625447
pep_0003,gene_001,drug,24h,5,120.91133358116073
pep_0003,gene_001,drug,24h,6,137.54116727053838
pep_0003,gene_001,drug,6h,1,31.056776011395662
pep_0003,gene_001,drug,6h,2,39.9611597451196
pep_0003,gene_001,drug,6h,3,72.50338021747962
pep_0003,gene_001,drug,6h,4,38.92363923728235
pep_0003,gene_001,drug,6h,5,40.39392563317752
pep_0003,gene_001,drug,6h,6,28.30816614695007
pep_0004,gene_001,ctrl,0h,1,68.09368670842605
pep_0004,gene_001,ctrl,0h,2,60.48073251629124
pep_0004,gene_001,ctrl,0h,3,72.23296678269097
pep_0004,gene_001,ctrl,0h,4,81.29903197619484
pep_0004,gene_001,ctrl,0h,5,84.25611893783483
pep_0004,gene_001,ctrl,0h,6,120.5994581213965
pep_0004,gene_001,ctrl,24h,1,78.09525328927054
pep_0004,gene_001,ctrl,24h,2,92.09237571831326
pep_0004,gene_001,ctrl,24h,3,130.13203614928722
pep_0004,gene_001,ctrl,24h,4,141.5919042989038
pep_0004,gene_001,ctrl,24h,5,86.27899004891113
pep_0004,gene_001,ctrl,24h,6,97.71957236727593
pep_0004,gene_001,ctrl,6h,1,199.05311545896134
pep_0004,gene_001,ctrl,6h,2,57.77099716638493
pep_0004,gene_001,ctrl,6h,3,63.21106606469106
pep_0004,gene_001,ctrl,6h,4,74.83698235113859
pep_0004,gene_001,ctrl,6h,5,73.95857522454678
pep_0004,gene_001,ctrl,6h,6,61.23671630050496
pep_0004,gene_001,drug,0h,1,73.9001333356582
pep_0004,gene_001,drug,0h,2,175.27468212602338
pep_0004,gene_001,drug,0h,3,83.20117578639996
pep_0004,gene_001,drug,0h,4,86.65721078278158
pep_0004,gene_001,drug,0h,5,45.43321603726729
pep_0004,gene_001,drug,0h,6,134.50241912966513
pep_0004,gene_001,drug,24h,1,364.8164930613795
pep_0004,gene_001,drug,24h,2,831.1041463748677
pep_0004,gene_001,drug,24h,3,331.2067404573643
pep_0004,gene_001,drug,24h,4,437.8490094321527
pep_0004,gene_001,drug,24h,5,356.01084406639734
pep_0004,gene_001,drug,24h,6,540.401366293892
pep_0004,gene_001,drug,6h,1,79.78225724264217
pep_0004,gene_001,drug,6h,2,60.86160040186263
pep_0004,gene_001,drug,6h,3,166.9570665574345
pep_0004,gene_001,drug,6h,4,72.67608038239958
pep_0004,gene_001,drug,6h,5,43.752630082281506
pep_0004,gene_001,drug,6h,6,47.09811185823573
pep_0005,gene_001,ctrl,0h,1,98.65051287566604
pep_0005,gene_001,ctrl,0h,2,84.77503963986824
pep_0005,gene_001,ctrl,0h,3,92.50399278637593
pep_0005,gene_001,ctrl,0h,4,60.02825195762802
pep_0005,gene_001,ctrl,0h,5,75.79997226884863
pep_0005,gene_001,ctrl,0h,6,98.90153188768608
pep_0005,gene_001,ctrl,24h,1,114.38057616995953
pep_0005,gene_001,ctrl,24h,2,85.34012193876138
pep_0005,gene_001,ctrl,24h,3,105.77792439107596
pep_0005,gene_001,ctrl,24h,4,51.78897848575779
pep_0005,gene_001,ctrl,24h,5,69.9212348766655
pep_0005,gene_001,ctrl,24h,6,112.41224170705598
pep_0005,gene_001,ctrl,6h,1,85.82552211100061
pep_0005,gene_001,ctrl,6h,2,95.81427208811499
pep_0005,gene_001,ctrl,6h,3,196.85412238593952
pep_0005,gene_001,ctrl,6h,4,80.36322917189887
pep_0005,gene_001,ctrl,6h,5,53.786949891797
pep_0005,gene_001,ctrl,6h,6,72.06419972294009
pep_0005,gene_001,drug,0h,1,72.72834959752326
pep_0005,gene_001,drug,0h,2,139.4166603094921
pep_0005,gene_001,drug,0h,3,95.35572568928788
pep_0005,gene_001,drug,0h,4,62.646748912558984
pep_0005,gene_001,drug,0h,5,71.18712860501181
pep_0005,gene_001,drug,0h,6,80.95805392452458
pep_0005,gene_001,drug,24h,1,252.612382589105
pep_0005,gene_001,drug,24h,2,526.0838447291899
pep_0005,gene_001,drug,24h,3,192.9705726561788
pep_0005,gene_001,drug,24h,4,456.5343461136708
pep_0005,gene_001,drug,24h,5,634.4842128292968
pep_0005,gene_001,drug,24h,6,328.5331820486006
pep_0005,gene_001,drug,6h,1,123.77461147161847
pep_0005,gene_001,drug,6h,2,90.67998079251213
pep_0005,gene_001,drug,6h,3,100.2921018082373
pep_0005,gene_001,drug,6h,4,70.19008087184274
pep_0005,gene_001,drug,6h,5,180.86617725826991
pep_0005,gene_001,drug,6h,6,47.55712165979634
pep_0006,gene_002,ctrl,0h,1,136.04065898504118
pep_0006,gene_002,ctrl,0h,2,86.37275292907314
pep_0006,gene_002,ctrl,0h,3,29.348427001530993
pep_0006,gene_002,ctrl,0h,4,75.90964207332283
pep_0006,gene_002,ctrl,0h,5,113.36191514436042
pep_0006,gene_002,ctrl,0h,6,30.929948107253125
pep_0006,gene_002,ctrl,24h,1,81.50761218118727
pep_0006,gene_002,ctrl,24h,2,79.35949608122023
pep_0006,gene_002,ctrl,24h,3,97.51035447810465
pep_0006,gene_002,ctrl,24h,4,75.72528863722205
pep_0006,gene_002,ctrl,24h,5,63.490791675355645
pep_0006,gene_002,ctrl,24h,6,136.172832183396
pep_0006,gene_002,ctrl,6h,1,110.08135107693376
pep_0006,gene_002,ctrl,6h,2,116.16075997700855
pep_0006,gene_002,ctrl,6h,3,85.02557922566206
pep_0006,gene_002,ctrl,6h,4,60.005314615380264
pep_0006,gene_002,ctrl,6h,5,110.74420536308301
pep_0006,gene_002,ctrl,6h,6,39.74475683031386
pep_0006,gene_002,drug,0h,1,27.133936888103047
pep_0006,gene_002,drug,0h,2,24.836076561417322
pep_0006,gene_002,drug,0h,3,63.496538600375615
pep_0006,gene_002,drug,0h,4,150.88790499150574
pep_0006,gene_002,drug,0h,5,82.21775631721036
pep_0006,gene_002,drug,0h,6,55.57921099723044
pep_0006,gene_002,drug,24h,1,623.8801336267574
pep_0006,gene_002,drug,24h,2,386.20763443876484
pep_0006,gene_002,drug,24h,3,109.34267505119644
pep_0006,gene_002,drug,24h,4,421.54036181994024
pep_0006,gene_002,drug,24h,5,356.46143843288945
pep_0006,gene_002,drug,24h,6,386.5360021795155
pep_0006,gene_002,drug,6h,1,83.37411710359058
pep_0006,gene_002,drug,6h,2,101.74154629562067
pep_0006,gene_002,drug,6h,3,37.705526756533175
pep_0006,gene_002,drug,6h,4,56.46084158956742
pep_0006,gene_002,drug,6h,5,82.7812749377791
pep_0006,gene_002,drug,6h,6,48.755485085472536
pep_0007,gene_002,ctrl,0h,1,163.24126006079925
pep_0007,gene_002,ctrl,0h,2,69.29944579301669
pep_0007,gene_002,ctrl,0h,3,76.98771987855612
pep_0007,gene_002,ctrl,0h,4,61.830527624087516
pep_0007,gene_002,ctrl,0h,5,67.85977530870946
pep_0007,gene_002,ctrl,0h,6,108.65508399723375
pep_0007,gene_002,ctrl,24h,1,60.30970792200041
pep_0007,gene_002,ctrl,24h,2,71.77259210231163
pep_0007,gene_002,ctrl,24h,3,62.32410913926156
pep_0007,gene_002,ctrl,24h,4,39.75316498900077
pep_0007,gene_002,ctrl,24h,5,80.9275495074627
pep_0007,gene_002,ctrl,24h,6,71.92534558566062
pep_0007,gene_002,ctrl,6h,1,148.58394369384976
pep_0007,gene_002,ctrl,6h,2,122.81857338966299
pep_0007,gene_002,ctrl,6h,3,117.22561721421131
pep_0007,gene_002,ctrl,6h,4,98.02147389037849
pep_0007,gene_002,ctrl,6h,5,67.21616228289034
pep_0007,gene_002,ctrl,6h,6,138.49612638124154
pep_0007,gene_002,drug,0h,1,64.87539967935969
pep_0007,gene_002,drug,0h,2,78.72781699190348
pep_0007,gene_002,drug,0h,3,85.92483798380174
pep_0007,gene_002,drug,0h,4,89.87489476681611
pep_0007,gene_002,drug,0h,5,160.9755249092988
pep_0007,gene_002,drug,0h,6,107.95722997011327
pep_0007,gene_002,drug,24h,1,361.6368552707506
pep_0007,gene_002,drug,24h,2,300.66542250754526
pep_0007,gene_002,drug,24h,3,415.6636335423452
pep_0007,gene_002,drug,24h,4,235.46816615664454
pep_0007,gene_002,drug,24h,5,301.4734258718266
pep_0007,gene_002,drug,24h,6,461.6717400299786
pep_0007,gene_002,drug,6h,1,99.09483554659627
pep_0007,gene_002,drug,6h,2,96.72646917944431
pep_0007,gene_002,drug,6h,3,97.05202071042967
pep_0007,gene_002,drug,6h,4,88.69997772106797
pep_0007,gene_002,drug,6h,5,79.433717438238
pep_0007,gene_002,drug,6h,6,101.0107136970453
pep_0008,gene_002,ctrl,0h,1,113.86345816976328
pep_0008,gene_002,ctrl,0h,2,102.06000086755196
pep_0008,gene_002,ctrl,0h,3,123.64259986455006
pep_0008,gene_002,ctrl,0h,4,146.4043830647798
pep_0008,gene_002,ctrl,0h,5,94.17519790092985
pep_0008,gene_002,ctrl,0h,6,93.98999909242742
pep_0008,gene_002,ctrl,24h,1,133.81627009227924
pep_0008,gene_002,ctrl,24h,2,120.96791714943276
pep_0008,gene_002,ctrl,24h,3,139.327074568472
pep_0008,gene_002,ctrl,24h,4,98.34027479319651
pep_0008,gene_002,ctrl,24h,5,73.68466550876926
pep_0008,gene_002,ctrl,24h,6,87.60469742661292
pep_0008,gene_002,ctrl,6h,1,157.83555385309134
pep_0008,gene_002,ctrl,6h,2,88.31510334838889
pep_0008,gene_002,ctrl,6h,3,107.62866655574032
pep_0008,gene_002,ctrl,6h,4,75.60364708706784
pep_0008,gene_002,ctrl,6h,5,71.96335164316879
pep_0008,gene_002,ctrl,6h,6,64.81978467156347
pep_0008,gene_002,drug,0h,1,62.11945045882153
pep_0008,gene_002,drug,0h,2,111.15169888122593
pep_0008,gene_002,drug,0h,3,78.31866722881125
pep_0008,gene_002,drug,0h,4,106.66941303189736
pep_0008,gene_002,drug,0h,5,78.32945127015056
pep_0008,gene_002,drug,0h,6,93.71240257835423
pep_0008,gene_002,drug,24h,1,115.84140519441989
pep_0008,gene_002,drug,24h,2,181.42602141381818
pep_0008,gene_002,drug,24h,3,500.7377391322556
pep_0008,gene_002,drug,24h,4,485.2240411325973
pep_0008,gene_002,drug,24h,5,502.2152675128259
pep_0008,gene_002,drug,24h,6,246.2314146971237
pep_0008,gene_002,drug,6h,1,82.64772318193552
pep_0008,gene_002,drug,6h,2,84.39180483391915
pep_0008,gene_002,drug,6h,3,109.32448027517633
pep_0008,gene_002,drug,6h,4,123.09335067726732
pep_0008,gene_002,drug,6h,5,84.90455714044826
pep_0008,gene_002,drug,6h,6,47.77856119497253
pep_0009,gene_002,ctrl,0h,1,71.67047547120796
pep_0009,gene_002,ctrl,0h,2,30.568643702935134
pep_0009,gene_002,ctrl,0h,3,41.131415501697596
pep_0009,gene_002,ctrl,0h,4,24.4409125320165
pep_0009,gene_002,ctrl,0h,5,48.92369392709327
pep_0009,gene_002,ctrl,0h,6,40.107434775101844
pep_0009,gene_002,ctrl,24h,1,71.47544283051197
pep_0009,gene_002,ctrl,24h,2,37.31253151995204
pep_0009,gene_002,ctrl,24h,3,34.76273583476371
pep_0009,gene_002,ctrl,24h,4,23.30048574155331
pep_0009,gene_002,ctrl,24h,5,35.580284465563516
pep_0009,gene_002,ctrl,24h,6,83.26424537262763
pep_0009,gene_002,ctrl,6h,1,21.746667127536316
pep_0009,gene_002,ctrl,6h,2,60.853544411343016
pep_0009,gene_002,ctrl,6h,3,26.197728408282973
pep_0009,gene_002,ctrl,6h,4,35.041441860120635
pep_0009,gene_002,ctrl,6h,5,47.044369979041456
pep_0009,gene_002,ctrl,6h,6,29.531772229732695
pep_0009,gene_002,drug,0h,1,106.06211552893747
pep_0009,gene_002,drug,0h,2,53.644247653021274
pep_0009,gene_002,drug,0h,3,27.13151826532788
pep_0009,gene_002,drug,0h,4,19.91164512316242
pep_0009,gene_002,drug,0h,5,34.46905865717844
pep_0009,gene_002,drug,0h,6,59.93080277338481
pep_0009,gene_002,drug,24h,1,229.61016607590878
pep_0009,gene_002,drug,24h,2,247.21177984286084
pep_0009,gene_002,drug,24h,3,117.26044919800383
pep_0009,gene_002,drug,24h,4,210.87275992249738
pep_0009,gene_002,drug,24h,5,274.6658029274096
pep_0009,gene_002,drug,24h,6,51.930272894265066
pep_0009,gene_002,drug,6h,1,48.33857040972167
pep_0009,gene_002,drug,6h,2,55.5913978602279
pep_0009,gene_002,drug,6h,3,15.834239556866729
pep_0009,gene_002,drug,6h,4,9.852401631943374
pep_0009,gene_002,drug,6h,5,76.21752855236606
pep_0009,gene_002,drug,6h,6,72.8777459478091
pep_0010,gene_002,ctrl,0h,1,118.62984514177585
pep_0010,gene_002,ctrl,0h,2,107.79712290851727
pep_0010,gene_002,ctrl,0h,3,73.64341374086354
pep_0010,gene_002,ctrl,0h,4,62.26097088253055
pep_0010,gene_002,ctrl,0h,5,67.49900194385724
pep_0010,gene_002,ctrl,0h,6,25.020229273641256
pep_0010,gene_002,ctrl,24h,1,100.79441311287951
pep_0010,gene_002,ctrl,24h,2,91.68636494252092
pep_0010,gene_002,ctrl,24h,3,81.93889959103461
pep_0010,gene_002,ctrl,24h,4,41.75090611850116
pep_0010,gene_002,ctrl,24h,5,80.214562040576
pep_0010,gene_002,ctrl,24h,6,92.9197399438005
pep_0010,gene_002,ctrl,6h,1,113.3150921145569
pep_0010,gene_002,ctrl,6h,2,81.39910864251893
pep_0010,gene_002,ctrl,6h,3,75.86794562831273
pep_0010,gene_002,ctrl,6h,4,82.82405694317741
pep_0010,gene_002,ctrl,6h,5,44.87273883728477
pep_0010,gene_002,ctrl,6h,6,118.28125095524146
pep_0010,gene_002,drug,0h,1,43.77214942102016
pep_0010,gene_002,drug,0h,2,81.04999623823181
pep_0010,gene_002,drug,0h,3,88.20146665970354
pep_0010,gene_002,drug,0h,4,101.14115911219308
pep_0010,gene_002,drug,0h,5,85.93142352302662
pep_0010,gene_002,drug,0h,6,75.65157191635058
pep_0010,gene_002,drug,24h,1,150.2450108081157
pep_0010,gene_002,drug,24h,2,244.6029156113653
pep_0010,gene_002,drug,24h,3,284.3405890944974
pep_0010,gene_002,drug,24h,4,224.6132985287663
pep_0010,gene_002,drug,24h,5,331.57294559838425
pep_0010,gene_002,drug,24h,6,129.78064333421906
pep_0010,gene_002,drug,6h,1,93.14757228302567
pep_0010,gene_002,drug,6h,2,114.58604764598475
pep_0010,gene_002,drug,6h,3,118.611823072766
pep_0010,gene_002,drug,6h,4,81.81907918466854
pep_0010,gene_002,drug,6h,5,106.50416035766982
pep_0010,gene_002,drug,6h,6,63.06857018007147
pep_0011,gene_003,ctrl,0h,1,44.30240717390947
pep_0011,gene_003,ctrl,0h,2,108.89512930551953
pep_0011,gene_003,ctrl,0h,3,38.36476245206233
pep_0011,gene_003,ctrl,0h,4,28.27824524674919
pep_0011,gene_003,ctrl,0h,5,129.20640021828325
pep_0011,gene_003,ctrl,0h,6,48.153857984947656
pep_0011,gene_003,ctrl,24h,1,105.79896067648832
pep_0011,gene_003,ctrl,24h,2,95.0412556223436
pep_0011,gene_003,ctrl,24h,3,39.859786440751066
pep_0011,gene_003,ctrl,24h,4,41.41698843525979
pep_0011,gene_003,ctrl,24h,5,48.61237947972857
pep_0011,gene_003,ctrl,24h,6,109.2052813048541
pep_0011,gene_003,ctrl,6h,1,27.665708751446495
pep_0011,gene_003,ctrl,6h,2,69.1945886700204
pep_0011,gene_003,ctrl,6h,3,11.744144610662135
pep_0011,gene_003,ctrl,6h,4,28.608933582619123
pep_0011,gene_003,ctrl,6h,5,111.94196094335312
pep_0011,gene_003,ctrl,6h,6,58.21305271136512
pep_0011,gene_003,drug,0h,1,31.11934159124883
pep_0011,gene_003,drug,0h,2,23.668284896022108
pep_0011,gene_003,drug,0h,3,65.07814743212897
pep_0011,gene_003,drug,0h,4,29.49467012106933
pep_0011,gene_003,drug,0h,5,25.03561622831743
pep_0011,gene_003,drug,0h,6,69.19157192223614
pep_0011,gene_003,drug,24h,1,235.33436141986792
pep_0011,gene_003,drug,24h,2,387.0650533050434
pep_0011,gene_003,drug,24h,3,202.75456097762765
pep_0011,gene_003,drug,24h,4,86.0271595255839
pep_0011,gene_003,drug,24h,5,110.02254551311614
pep_0011,gene_003,drug,24h,6,215.4634574941085
pep_0011,gene_003,drug,6h,1,101.91877804347789
pep_0011,gene_003,drug,6h,2,69.98712056751052
pep_0011,gene_003,drug,6h,3,18.293080546482212
pep_0011,gene_003,drug,6h,4,65.6920031614669
pep_0011,gene_003,drug,6h,5,65.03743715826984
pep_0011,gene_003,drug,6h,6,60.82723559324347
pep_0012,gene_003,ctrl,0h,1,66.4098639340641
pep_0012,gene_003,ctrl,0h,2,104.66215988010049
pep_0012,gene_003,ctrl,0h,3,115.59631352363226
pep_0012,gene_003,ctrl,0h,4,108.01366317321263
pep_0012,gene_003,ctrl,0h,5,93.59772537254923
pep_0012,gene_003,ctrl,0h,6,82.90257354270875
pep_0012,gene_003,ctrl,24h,1,65.9436922807011
pep_0012,gene_003,ctrl,24h,2,77.5222025161498
pep_0012,gene_003,ctrl,24h,3,70.5851818233455
pep_0012,gene_003,ctrl,24h,4,108.49504552811509
pep_0012,gene_003,ctrl,24h,5,49.27630763008756
pep_0012,gene_003,ctrl,24h,6,105.43574098781987
pep_0012,gene_003,ctrl,6h,1,106.65120359491125
pep_0012,gene_003,ctrl,6h,2,89.98165500773702
pep_0012,gene_003,ctrl,6h,3,132.50017933198149
pep_0012,gene_003,ctrl,6h,4,58.5533427384009
pep_0012,gene_003,ctrl,6h,5,97.79651102689489
pep_0012,gene_003,ctrl,6h,6,154.71871518030778
pep_0012,gene_003,drug,0h,1,94.8392469044391
pep_0012,gene_003,drug,0h,2,65.0573509663433
pep_0012,gene_003,drug,0h,3,74.18145341942504
pep_0012,gene_003,drug,0h,4,90.57767511950293
pep_0012,gene_003,drug,0h,5,93.17393767676711
pep_0012,gene_003,drug,0h,6,88.70885215972133
pep_0012,gene_003,drug,24h,1,340.9471871218537
pep_0012,gene_003,drug,24h,2,592.6997182918645
pep_0012,gene_003,drug,24h,3,285.5288849049997
pep_0012,gene_003,drug,24h,4,534.8898872941054
pep_0012,gene_003,drug,24h,5,513.2582249551866
pep_0012,gene_003,drug,24h,6,453.97169957614295
pep_0012,gene_003,drug,6h,1,134.4160850712418
pep_0012,gene_003,drug,6h,2,136.72683019189543
pep_0012,gene_003,drug,6h,3,79.711627245581
pep_0012,gene_003,drug,6h,4,72.32267146927641
pep_0012,gene_003,drug,6h,5,81.4319758636286
pep_0012,gene_003,drug,6h,6,90.77628052347046
pep_0013,gene_003,ctrl,0h,1,89.93689360776985
pep_0013,gene_003,ctrl,0h,2,46.70013166326505
pep_0013,gene_003,ctrl,0h,3,122.16171954250002
pep_0013,gene_003,ctrl,0h,4,42.36330394437147
pep_0013,gene_003,ctrl,0h,5,126.849035323414
pep_0013,gene_003,ctrl,0h,6,62.52073480520158
pep_0013,gene_003,ctrl,24h,1,115.48310349886785
pep_0013,gene_003,ctrl,24h,2,59.30390040898621
pep_0013,gene_003,ctrl,24h,3,58.96764492652402
pep_0013,gene_003,ctrl,24h,4,106.87121596602532
pep_0013,gene_003,ctrl,24h,5,62.73070893689184
pep_0013,gene_003,ctrl,24h,6,113.35649900001091
pep_0013,gene_003,ctrl,6h,1,46.51580280967445
pep_0013,gene_003,ctrl,6h,2,81.98938284952074
pep_0013,gene_003,ctrl,6h,3,52.96368169136854
pep_0013,gene_003,ctrl,6h,4,105.35980566643275
pep_0013,gene_003,ctrl,6h,5,45.03861051238832
pep_0013,gene_003,ctrl,6h,6,78.0227247770109
pep_0013,gene_003,drug,0h,1,21.85396085895375
pep_0013,gene_003,drug,0h,2,80.71860087709565
pep_0013,gene_003,drug,0h,3,47.865502034206216
pep_0013,gene_003,drug,0h,4,96.23234100708069
pep_0013,gene_003,drug,0h,5,63.436155381706634
pep_0013,gene_003,drug,0h,6,50.93486276057251
pep_0013,gene_003,drug,24h,1,312.54984655962727
pep_0013,gene_003,drug,24h,2,205.27353454876862
pep_0013,gene_003,drug,24h,3,187.78755958409016
pep_0013,gene_003,drug,24h,4,173.1578315231158
pep_0013,gene_003,drug,24h,5,197.6586154503766
pep_0013,gene_003,drug,24h,6,239.79386215992088
pep_0013,gene_003,drug,6h,1,48.143997403212296
pep_0013,gene_003,drug,6h,2,112.50780130422741
pep_0013,gene_003,drug,6h,3,65.1187711089376
pep_0013,gene_003,drug,6h,4,66.04306660267237
pep_0013,gene_003,drug,6h,5,39.39464416173789
pep_0013,gene_003,drug,6h,6,96.59541426127059
pep_0014,gene_003,ctrl,0h,1,106.78992760606438
pep_0014,gene_003,ctrl,0h,2,164.73168097387028
pep_0014,gene_003,ctrl,0h,3,89.91106067789582
pep_0014,gene_003,ctrl,0h,4,165.21632841856632
pep_0014,gene_003,ctrl,0h,5,98.8599940404434
pep_0014,gene_003,ctrl,0h,6,88.21767451347516
pep_0014,gene_003,ctrl,24h,1,108.71473374769641
pep_0014,gene_003,ctrl,24h,2,149.19220095007063
pep_0014,gene_003,ctrl,24h,3,68.19061490457206
pep_0014,gene_003,ctrl,24h,4,196.7482207453667
pep_0014,gene_003,ctrl,24h,5,117.18885457826894
pep_0014,gene_003,ctrl,24h,6,114.9897097308564
pep_0014,gene_003,ctrl,6h,1,104.88759761768452
pep_0014,gene_003,ctrl,6h,2,120.52572904904486
pep_0014,gene_003,ctrl,6h,3,154.5817807397287
pep_0014,gene_003,ctrl,6h,4,77.08098883296832
pep_0014,gene_003,ctrl,6h,5,50.37586620740279
pep_0014,gene_003,ctrl,6h,6,147.18858954434208
pep_0014,gene_003,drug,0h,1,139.1385364780994
pep_0014,gene_003,drug,0h,2,107.05993409913445
pep_0014,gene_003,drug,0h,3,62.608159053628114
pep_0014,gene_003,drug,0h,4,146.33272334755583
pep_0014,gene_003,drug,0h,5,107.44309848639959
pep_0014,gene_003,drug,0h,6,97.78653398738717
pep_0014,gene_003,drug,24h,1,281.976525083111
pep_0014,gene_003,drug,24h,2,733.6859290249497
pep_0014,gene_003,drug,24h,3,432.00463023298647
pep_0014,gene_003,drug,24h,4,414.66302670640863
pep_0014,gene_003,drug,24h,5,273.2124254745073
pep_0014,gene_003,drug,24h,6,846.8994178154564
