peptide,gene_id,treatment,bio_rep,abundance
pw_005,gene_01,ctrl,2,79.13313308037705
pw_005,gene_01,ctrl,3,64.26492370447764
pw_005,gene_01,ctrl,4,64.49050659980006
pw_005,gene_01,ctrl,5,52.66574209843459
pw_005,gene_01,ctrl,6,31.20159572832084
pw_005,gene_01,ctrl,7,61.42427497699404
pw_005,gene_01,ctrl,8,34.62976961883482
pw_005,gene_01,treatment,1,207.16151478629314
pw_005,gene_01,treatment,2,174.77795979647442
pw_005,gene_01,treatment,3,150.8615131711407
pw_005,gene_01,treatment,4,169.22452527212747
pw_005,gene_01,treatment,5,239.63125255825727
pw_005,gene_01,treatment,6,164.06351074754897
pw_005,gene_01,treatment,7,202.27488191144414
pw_005,gene_01,treatment,8,92.80170298717927
pw_006,gene_02,ctrl,1,62.93905889671047
pw_006,gene_02,ctrl,2,133.282159047273
pw_006,gene_02,ctrl,3,107.20218186580072
pw_006,gene_02,ctrl,4,84.91184383380597
pw_006,gene_02,ctrl,5,62.12638858096401
pw_006,gene_02,ctrl,6,155.62017884741704
pw_006,gene_02,ctrl,7,121.27193099880935
pw_006,gene_02,ctrl,8,92.56893462674104
pw_006,gene_02,treatment,1,324.5182780088004
pw_006,gene_02,treatment,2,353.93079390571
pw_006,gene_02,treatment,3,223.05352680363578
pw_006,gene_02,treatment,4,306.30103338082785
pw_006,gene_02,treatment,5,195.13316318885026
pw_006,gene_02,treatment,6,234.9903741879659
pw_006,gene_02,treatment,7,261.35819711035407
pw_006,gene_02,treatment,8,490.48550527992086
pw_007,gene_02,ctrl,1,149.48038608264991
pw_007,gene_02,ctrl,2,104.53206577853771
pw_007,gene_02,ctrl,3,91.49179982379928
pw_007,gene_02,ctrl,4,93.9497966822331
pw_007,gene_02,ctrl,5,84.32031588092659
pw_007,gene_02,ctrl,6,77.6106555857442
pw_007,gene_02,ctrl,7,60.61429740190665
pw_007,gene_02,ctrl,8,67.39719612899474
pw_007,gene_02,treatment,1,169.44852720939363
pw_007,gene_02,treatment,2,174.90468441704013
pw_007,gene_02,treatment,3,119.51665863966186
pw_007,gene_02,treatment,4,168.83965423645427
pw_007,gene_02,treatment,5,374.88286444045735
pw_007,gene_02,treatment,6,197.6742324569027
pw_007,gene_02,treatment,7,73.99681601779854
pw_007,gene_02,treatment,8,250.1474037831179
pw_008,gene_02,ctrl,1,82.1879750842476
pw_008,gene_02,ctrl,2,81.73727052307926
pw_008,gene_02,ctrl,3,100.02778718110157
pw_008,gene_02,ctrl,4,45.214291587230235
pw_008,gene_02,ctrl,5,118.09166554881205
pw_008,gene_02,ctrl,6,92.45273008059917
pw_008,gene_02,ctrl,7,116.89918381056592
pw_008,gene_02,ctrl,8,43.5414603369065
pw_008,gene_02,treatment,1,391.3680807830002
pw_008,gene_02,treatment,2,193.5645185180491
pw_008,gene_02,treatment,3,261.05551568199735
pw_008,gene_02,treatment,4,258.3506884250962
pw_008,gene_02,treatment,5,228.01269513254297
pw_008,gene_02,treatment,6,145.3685699745567
pw_008,gene_02,treatment,7,196.0129780163054
pw_008,gene_02,treatment,8,316.01553479884785
pw_009,gene_02,ctrl,1,129.45021356620612
pw_009,gene_02,ctrl,2,69.31372165778733
pw_009,gene_02,ctrl,3,176.1369788615665
pw_009,gene_02,ctrl,4,90.35983717433713
pw_009,gene_02,ctrl,5,103.0273022715772
pw_009,gene_02,ctrl,6,185.26518455239895
pw_009,gene_02,ctrl,7,164.72785218265903
pw_009,gene_02,ctrl,8,105.1349818381381
pw_009,gene_02,treatment,1,532.9277424172245
pw_009,gene_02,treatment,2,515.0002622215461
pw_009,gene_02,treatment,3,972.5775964767873
pw_009,gene_02,treatment,4,769.9892356796627
pw_009,gene_02,treatment,5,521.5698088236601
pw_009,gene_02,treatment,6,522.0993457579985
pw_009,gene_02,treatment,7,599.5591853578549
pw_009,gene_02,treatment,8,476.29908601108195
pw_010,gene_02,ctrl,1,91.90646402318617
pw_010,gene_02,ctrl,2,69.84409473841912
pw_010,gene_02,ctrl,3,99.14978203787156
pw_010,gene_02,ctrl,4,43.71772657176358
pw_010,gene_02,ctrl,5,98.42656985289847
pw_010,gene_02,ctrl,6,109.02006452706141
pw_010,gene_02,ctrl,7,81.03143384719738
pw_010,gene_02,ctrl,8,81.61997788185924
pw_010,gene_02,treatment,1,234.9035363924187
pw_010,gene_02,treatment,2,221.37582690421496
pw_010,gene_02,treatment,3,217.96464514621528
pw_010,gene_02,treatment,4,207.27454764503844
pw_010,gene_02,treatment,5,207.48426208322545
pw_010,gene_02,treatment,6,234.72406543379046
pw_010,gene_02,treatment,7,309.8274799363301
pw_010,gene_02,treatment,8,309.6118109599722
pw_011,gene_03,ctrl,1,108.53405015240081
pw_011,gene_03,ctrl,2,87.84302465912516
pw_011,gene_03,ctrl,3,136.09823124852213
pw_011,gene_03,ctrl,4,48.75023092766385
pw_011,gene_03,ctrl,5,148.83211776877542
pw_011,gene_03,ctrl,6,127.69144992623431
pw_011,gene_03,ctrl,7,160.01211919721632
pw_011,gene_03,ctrl,8,108.27367573218542
pw_011,gene_03,treatment,1,328.2152756677443
pw_011,gene_03,treatment,2,174.250942945817
pw_011,gene_03,treatment,3,244.42812262567844
pw_011,gene_03,treatment,4,246.85728933190083
pw_011,gene_03,treatment,5,319.8470132222301
pw_011,gene_03,treatment,6,343.6013236428144
pw_011,gene_03,treatment,7,511.8049883921219
pw_011,gene_03,treatment,8,143.96920533628068
pw_012,gene_03,ctrl,1,147.3111449951384
pw_012,gene_03,ctrl,2,97.50852963504346
pw_012,gene_03,ctrl,3,30.24461715899096
pw_012,gene_03,ctrl,4,173.50933813636766
pw_012,gene_03,ctrl,5,56.19542281786521
pw_012,gene_03,ctrl,6,45.453694114128254
pw_012,gene_03,ctrl,7,45.78082325266692
pw_012,gene_03,ctrl,8,109.28807643832465
pw_012,gene_03,treatment,1,324.8720219522482
pw_012,gene_03,treatment,2,341.6432209554149
pw_012,gene_03,treatment,3,321.97059839376794
pw_012,gene_03,treatment,4,186.29447018941167
pw_012,gene_03,treatment,5,325.5849399392031
pw_012,gene_03,treatment,6,382.05998578021394
pw_012,gene_03,treatment,7,120.0742088906161
pw_012,gene_03,treatment,8,137.17359046841227
pw_013,gene_03,ctrl,1,33.49119906026308
pw_013,gene_03,ctrl,2,101.83641331500002
pw_013,gene_03,ctrl,3,184.36826511813706
pw_013,gene_03,ctrl,4,67.68293704362767
pw_013,gene_03,ctrl,5,67.47782615249172
pw_013,gene_03,ctrl,6,51.56047121133271
pw_013,gene_03,ctrl,7,58.57263180227413
pw_013,gene_03,ctrl,8,107.42822842653584
pw_013,gene_03,treatment,1,470.8640673459918
pw_013,gene_03,treatment,2,77.57205468364802
pw_013,gene_03,treatment,3,125.77117010034895
pw_013,gene_03,treatment,4,162.56630218940268
pw_013,gene_03,treatment,5,215.12234993450835
pw_013,gene_03,treatment,6,301.4143246609724
pw_013,gene_03,treatment,7,449.44414398517534
pw_013,gene_03,treatment,8,354.1221801723672
pw_014,gene_03,ctrl,1,86.7579295619537
pw_014,gene_03,ctrl,2,101.87254499686512
pw_014,gene_03,ctrl,3,154.64205564732086
pw_014,gene_03,ctrl,4,83.5250479192541
pw_014,gene_03,ctrl,5,67.75022372007749
pw_014,gene_03,ctrl,6,113.63103758784877
pw_014,gene_03,ctrl,7,40.77173631092976
pw_014,gene_03,ctrl,8,62.968476134161335
pw_014,gene_03,treatment,1,209.8869917718108
pw_014,gene_03,treatment,2,184.29096806427526
pw_014,gene_03,treatment,3,274.5210943948275
pw_014,gene_03,treatment,4,193.70115490928387
pw_014,gene_03,treatment,5,169.41404425013738
pw_014,gene_03,treatment,6,98.6245881776495
pw_014,gene_03,treatment,7,151.56813109381392
pw_014,gene_03,treatment,8,147.43073094002352
pw_015,gene_03,ctrl,1,113.71615319359574
pw_015,gene_03,ctrl,2,54.85520396885519
pw_015,gene_03,ctrl,3,65.44182365947773
pw_015,gene_03,ctrl,4,114.20256076209307
pw_015,gene_03,ctrl,5,73.408490742908
pw_015,gene_03,ctrl,6,57.43265811089301
pw_015,gene_03,ctrl,7,49.29678286770157
pw_015,gene_03,ctrl,8,84.90920525014144
pw_015,gene_03,treatment,1,189.77368551657352
pw_015,gene_03,treatment,2,161.62120266942875
pw_015,gene_03,treatment,3,46.57510027148311
pw_015,gene_03,treatment,4,172.49818769619756
pw_015,gene_03,treatment,5,118.23818847998037
pw_015,gene_03,treatment,6,248.35827265608455
pw_015,gene_03,treatment,7,204.66516638649082
pw_015,gene_03,treatment,8,109.61510320592726
pw_016,gene_04,ctrl,1,111.55082031751583
pw_016,gene_04,ctrl,2,39.958568613614425
pw_016,gene_04,ctrl,3,90.59693341955335
pw_016,gene_04,ctrl,4,104.87925933174711
pw_016,gene_04,ctrl,5,33.623685227826066
pw_016,gene_04,ctrl,6,85.99122364054261
pw_016,gene_04,ctrl,7,61.188829842583424
pw_016,gene_04,ctrl,8,73.10383425178006
pw_016,gene_04,treatment,1,139.8583583145446
pw_016,gene_04,treatment,2,373.5368416266309
pw_016,gene_04,treatment,3,125.65138145737166
pw_016,gene_04,treatment,4,214.32120406789377
pw_016,gene_04,treatment,5,117.23338525872786
pw_016,gene_04,treatment,6,172.08292396747996
pw_016,gene_04,treatment,7,233.3926379877299
pw_016,gene_04,treatment,8,99.27414568124235
pw_017,gene_04,ctrl,1,59.7991150890858
pw_017,gene_04,ctrl,2,51.59661812925808
pw_017,gene_04,ctrl,3,18.214421555315432
pw_017,gene_04,ctrl,4,59.13508641583616
pw_017,gene_04,ctrl,5,69.1324183250476
pw_017,gene_04,ctrl,6,33.74509479565025
pw_017,gene_04,ctrl,7,75.4348845777144
pw_017,gene_04,ctrl,8,48.88219466341623
pw_017,gene_04,treatment,1,97.04902470918188
pw_017,gene_04,treatment,2,134.14081160774776
pw_017,gene_04,treatment,3,91.65063420477686
pw_017,gene_04,treatment,4,62.11973303989452
pw_017,gene_04,treatment,5,90.56843296756013
pw_017,gene_04,treatment,6,65.81665618855813
pw_017,gene_04,treatment,7,141.44146530497596
pw_017,gene_04,treatment,8,148.83278570753288
pw_018,gene_04,ctrl,1,84.08830038610382
pw_018,gene_04,ctrl,2,133.6299511214101
pw_018,gene_04,ctrl,3,61.11628289192989
pw_018,gene_04,ctrl,4,118.24689958797612
pw_018,gene_04,ctrl,5,83.21320376607744
pw_018,gene_04,ctrl,6,49.232652835618964
pw_018,gene_04,ctrl,7,77.12592801760375
pw_018,gene_04,ctrl,8,171.45453919994907
pw_018,gene_04,treatment,1,234.39424407954715
pw_018,gene_04,treatment,2,244.01243816665468
pw_018,gene_04,treatment,3,371.98138841886794
pw_018,gene_04,treatment,4,202.8621242237786
pw_018,gene_04,treatment,5,318.97933799725087
pw_018,gene_04,treatment,6,123.48468750226975
pw_018,gene_04,treatment,7,299.0048943039191
pw_018,gene_04,treatment,8,386.70562265044384
pw_019,gene_04,ctrl,1,53.31214664224941
pw_019,gene_04,ctrl,2,41.02808269073796
pw_019,gene_04,ctrl,3,53.70656593179496
pw_019,gene_04,ctrl,4,42.90044142717827
pw_019,gene_04,ctrl,5,48.402909648567665
pw_019,gene_04,ctrl,6,100.0187623788339
pw_019,gene_04,ctrl,7,68.28599741784345
pw_019,gene_04,ctrl,8,55.526601932115234
pw_019,gene_04,treatment,1,113.43566502660003
pw_019,gene_04,treatment,2,89.26406280056106
pw_019,gene_04,treatment,3,64.41957029159414
pw_019,gene_04,treatment,4,134.3281502676606
pw_019,gene_04,treatment,5,156.94964655349494
pw_019,gene_04,treatment,6,79.54981039760418
pw_019,gene_04,treatment,7,140.97333511736502
pw_019,gene_04,treatment,8,144.4172037722545
pw_020,gene_04,ctrl,1,124.58022471602621
pw_020,gene_04,ctrl,2,112.25548740993354
pw_020,gene_04,ctrl,3,106.29126286940281
pw_020,gene_04,ctrl,4,109.36566371231206
pw_020,gene_04,ctrl,5,117.51983189745614
pw_020,gene_04,ctrl,6,90.51173577931736
pw_020,gene_04,ctrl,7,233.73498798463555
pw_020,gene_04,ctrl,8,193.31948980186775
pw_020,gene_04,treatment,1,159.63972134160227
pw_020,gene_04,treatment,2,349.02918709177953
pw_020,gene_04,treatment,3,429.88599216743495
pw_020,gene_04,treatment,4,210.48913918716664
pw_020,gene_04,treatment,5,300.24284654476696
pw_020,gene_04,treatment,6,325.8392375186934
pw_020,gene_04,treatment,7,431.76079458255805
pw_020,gene_04,treatment,8,557.9564489681342
pw_021,gene_05,ctrl,1,62.070786152223235
pw_021,gene_05,ctrl,2,37.637715245100225
pw_021,gene_05,ctrl,3,21.048050434264663
pw_021,gene_05,ctrl,4,46.60360932433422
pw_021,gene_05,ctrl,5,19.482341419913745
pw_021,gene_05,ctrl,6,NA
pw_021,gene_05,ctrl,7,60.5884246808862
pw_021,gene_05,ctrl,8,23.552819253040198
pw_021,gene_05,treatment,1,65.0671038557117
pw_021,gene_05,treatment,2,NA
pw_021,gene_05,treatment,3,58.2440942802001
pw_021,gene_05,treatment,4,107.8775555244021
pw_021,gene_05,treatment,5,41.674043086641234
pw_021,gene_05,treatment,6,142.38437194297651
pw_021,gene_05,treatment,7,140.4140899170297
pw_021,gene_05,treatment,8,126.69485636991018
pw_022,gene_05,ctrl,1,93.7010857427023
pw_022,gene_05,ctrl,2,123.25827538174514
pw_022,gene_05,ctrl,3,136.39683980482425
pw_022,gene_05,ctrl,4,172.41809043463863
pw_022,gene_05,ctrl,5,197.22260564157204
pw_022,gene_05,ctrl,6,218.79595665135793
pw_022,gene_05,ctrl,7,96.08069699472298
pw_022,gene_05,ctrl,8,134.49962608869393
pw_022,gene_05,treatment,1,225.16453810317492
pw_022,gene_05,treatment,2,204.54947038421693
pw_022,gene_05,treatment,3,270.63313121235797
pw_022,gene_05,treatment,4,437.9019684988124
pw_022,gene_05,treatment,5,413.0349674246147
pw_022,gene_05,treatment,6,460.3267781947166
pw_022,gene_05,treatment,7,360.17248994007826
pw_022,gene_05,treatment,8,302.49282179385625
pw_023,gene_05,ctrl,1,52.55828698224736
pw_023,gene_05,ctrl,2,86.15976528062151
pw_023,gene_05,ctrl,3,95.29556609468735
pw_023,gene_05,ctrl,4,48.84630043020205
pw_023,gene_05,ctrl,5,42.091871690963316
pw_023,gene_05,ctrl,6,60.45063702668072
pw_023,gene_05,ctrl,7,56.66719736188015
pw_023,gene_05,ctrl,8,63.243867980845295
pw_023,gene_05,treatment,1,242.97056410723783
pw_023,gene_05,treatment,2,302.6988641773768
pw_023,gene_05,treatment,3,273.77120351871235
pw_023,gene_05,treatment,4,99.90724554108743
pw_023,gene_05,treatment,5,136.52737477982149
pw_023,gene_05,treatment,6,121.47295099493464
pw_023,gene_05,treatment,7,214.38573449889802
pw_023,gene_05,treatment,8,112.39603055859
pw_024,gene_05,ctrl,1,148.96356854353255
pw_024,gene_05,ctrl,2,119.91470199231252
pw_024,gene_05,ctrl,3,180.9655943033655
pw_024,gene_05,ctrl,4,165.23117497209708
pw_024,gene_05,ctrl,5,126.25253980450329
pw_024,gene_05,ctrl,6,141.82207813358684
pw_024,gene_05,ctrl,7,96.46951859586285
pw_024,gene_05,ctrl,8,82.9055914351287
pw_024,gene_05,treatment,1,260.954546531863
pw_024,gene_05,treatment,2,398.5534645282256
pw_024,gene_05,treatment,3,689.7324423409214
pw_024,gene_05,treatment,4,260.17766094425696
pw_024,gene_05,treatment,5,636.7839126608725
pw_024,gene_05,treatment,6,314.664099407324
pw_024,gene_05,treatment,7,604.3129070889515
pw_024,gene_05,treatment,8,743.1495748165385
pw_025,gene_05,ctrl,1,44.801739813241355
pw_025,gene_05,ctrl,2,64.82287536469198
pw_025,gene_05,ctrl,3,57.88010976889904
pw_025,gene_05,ctrl,4,98.09091151354124
pw_025,gene_05,ctrl,5,62.02196414212075
pw_025,gene_05,ctrl,6,111.0852610397257
pw_025,gene_05,ctrl,7,42.77949038532658
pw_025,gene_05,ctrl,8,59.64592515625443
pw_025,gene_05,treatment,1,269.982060454912
pw_025,gene_05,treatment,2,197.62467196881667
pw_025,gene_05,treatment,3,294.0252559720075
pw_025,gene_05,treatment,4,390.8703025031156
pw_025,gene_05,treatment,5,317.19049381158476
pw_025,gene_05,treatment,6,233.96281223957445
pw_025,gene_05,treatment,7,150.26518162608835
pw_025,gene_05,treatment,8,308.2419682504474
pw_026,gene_06,ctrl,1,100.04830335403668
pw_026,gene_06,ctrl,2,135.00574025670824
pw_026,gene_06,ctrl,3,117.70337604792311
pw_026,gene_06,ctrl,4,168.45978176487964
pw_026,gene_06,ctrl,5,118.27051288118425
pw_026,gene_06,ctrl,6,76.16462921380409
pw_026,gene_06,ctrl,7,87.19821608543961
pw_026,gene_06,ctrl,8,238.34323131184138
pw_026,gene_06,treatment,1,345.87527343700026
pw_026,gene_06,treatment,2,401.27646883220314
pw_026,gene_06,treatment,3,462.1577452108035
pw_026,gene_06,treatment,4,503.1648269736359
pw_026,gene_06,treatment,5,367.88949257355466
pw_026,gene_06,treatment,6,261.0300723444908
pw_026,gene_06,treatment,7,283.53700580601554
pw_026,gene_06,treatment,8,294.7086083893055
pw_027,gene_06,ctrl,1,154.24350831402884
pw_027,gene_06,ctrl,2,147.83221725575922
pw_027,gene_06,ctrl,3,137.58549403332776
pw_027,gene_06,ctrl,4,193.84572068234223
pw_027,gene_06,ctrl,5,118.26692376632656
pw_027,gene_06,ctrl,6,167.01749396887013
pw_027,gene_06,ctrl,7,189.0741953884639
pw_027,gene_06,ctrl,8,100.88265774580509
pw_027,gene_06,treatment,1,324.5046715025472
pw_027,gene_06,treatment,2,170.92610221411405
pw_027,gene_06,treatment,3,305.92253300850155
pw_027,gene_06,treatment,4,579.3627156587386
pw_027,gene_06,treatment,5,283.8716035103967
pw_027,gene_06,treatment,6,335.7812316919027
pw_027,gene_06,treatment,7,301.23405080288876
pw_027,gene_06,treatment,8,218.94014734394537
pw_028,gene_06,ctrl,1,72.47301278824769
pw_028,gene_06,ctrl,2,51.80194934071048
pw_028,gene_06,ctrl,3,112.79392814714791
pw_028,gene_06,ctrl,4,142.72309868469193
pw_028,gene_06,ctrl,5,89.58875951278173
pw_028,gene_06,ctrl,6,141.13737314268903
pw_028,gene_06,ctrl,7,73.83490792550984
pw_028,gene_06,ctrl,8,84.65301728134118
pw_028,gene_06,treatment,1,467.3173182063079
pw_028,gene_06,treatment,2,365.41031479502834
pw_028,gene_06,treatment,3,546.1374674121748
pw_028,gene_06,treatment,4,156.5623388396432
pw_028,gene_06,treatment,5,406.23686241539866
pw_028,gene_06,treatment,6,410.5254825946897
pw_028,gene_06,treatment,7,357.68221646114506
pw_028,gene_06,treatment,8,528.1358151008346
pw_029,gene_06,ctrl,1,119.62284335190823
pw_029,gene_06,ctrl,2,141.27095778018793
pw_029,gene_06,ctrl,3,22.424950987825895
pw_029,gene_06,ctrl,4,78.65983156617082
pw_029,gene_06,ctrl,5,114.77820280212858
pw_029,gene_06,ctrl,6,67.7556412035248
pw_029,gene_06,ctrl,7,119.67601573361094
pw_029,gene_06,ctrl,8,125.57593510220546
pw_029,gene_06,treatment,1,104.12803055757621
pw_029,gene_06,treatment,2,257.14892654464774
pw_029,gene_06,treatment,3,55.788950749234736
pw_029,gene_06,treatment,4,212.66734616311376
pw_029,gene_06,treatment,5,182.36501587973402
pw_029,gene_06,treatment,6,114.32539058118557
pw_029,gene_06,treatment,7,139.81229465882814
pw_029,gene_06,treatment,8,195.00545966374298
pw_030,gene_06,ctrl,1,28.528075002163217
pw_030,gene_06,ctrl,2,94.34868271398916
pw_030,gene_06,ctrl,3,124.54704221674065
pw_030,gene_06,ctrl,4,90.79763500547914
pw_030,gene_06,ctrl,5,104.63362926392321
pw_030,gene_06,ctrl,6,133.31478342527146
pw_030,gene_06,ctrl,7,109.8547020847053
pw_030,gene_06,ctrl,8,91.53598453928826
pw_030,gene_06,treatment,1,244.18436221812277
pw_030,gene_06,treatment,2,246.21159882867568
pw_030,gene_06,treatment,3,300.62311335651907
pw_030,gene_06,treatment,4,328.1640669648673
pw_030,gene_06,treatment,5,375.68963906374466
pw_030,gene_06,treatment,6,362.8213855070705
pw_030,gene_06,treatment,7,323.38954898314665
pw_030,gene_06,treatment,8,240.89578480765124
pw_031,gene_07,ctrl,1,46.04827856618318
pw_031,gene_07,ctrl,2,23.514089105902464
pw_031,gene_07,ctrl,3,60.414246306872094
pw_031,gene_07,ctrl,4,51.531995859157206
pw_031,gene_07,ctrl,5,52.15401704726311
pw_031,gene_07,ctrl,6,41.990751028220444
pw_031,gene_07,ctrl,7,28.32402341218724
pw_031,gene_07,ctrl,8,11.235724075436513
pw_031,gene_07,treatment,1,22.35713749959585
pw_031,gene_07,treatment,2,17.60502717860889
pw_031,gene_07,treatment,3,70.63098694734937
pw_031,gene_07,treatment,4,49.02339132916566
pw_031,gene_07,treatment,5,19.00672116731353
pw_031,gene_07,treatment,6,92.40820705696538
pw_031,gene_07,treatment,7,49.61550424958684
pw_031,gene_07,treatment,8,81.3798005710996
pw_032,gene_07,ctrl,1,51.19628838044981
pw_032,gene_07,ctrl,2,120.01133770583728
pw_032,gene_07,ctrl,3,125.9430773349715
pw_032,gene_07,ctrl,4,43.7781093678218
pw_032,gene_07,ctrl,5,80.7230258302136
pw_032,gene_07,ctrl,6,66.84092980406551
pw_032,gene_07,ctrl,7,55.595538049449544
pw_032,gene_07,ctrl,8,44.50694051739356
pw_032,gene_07,treatment,1,69.2075269107101
pw_032,gene_07,treatment,2,74.17417475134243
pw_032,gene_07,treatment,3,84.82222368454825
pw_032,gene_07,treatment,4,60.455321432693765
pw_032,gene_07,treatment,5,64.9944589996892
pw_032,gene_07,treatment,6,85.46371317709192
pw_032,gene_07,treatment,7,68.92642651355885
pw_032,gene_07,treatment,8,68.73271034701199
pw_033,gene_07,ctrl,1,83.49458489929341
pw_033,gene_07,ctrl,2,88.87171933160336
pw_033,gene_07,ctrl,3,141.6368154571794
pw_033,gene_07,ctrl,4,56.517516851462496
pw_033,gene_07,ctrl,5,79.7308621643239
pw_033,gene_07,ctrl,6,92.98837477335789
pw_033,gene_07,ctrl,7,139.77383646326402
pw_033,gene_07,ctrl,8,80.2010312610605
pw_033,gene_07,treatment,1,98.62403953182604
pw_033,gene_07,treatment,2,73.30816601405635
pw_033,gene_07,treatment,3,117.37507624084057
pw_033,gene_07,treatment,4,104.6206117513969
pw_033,gene_07,treatment,5,71.97308622296413
pw_033,gene_07,treatment,6,97.06057065993359
pw_033,gene_07,treatment,7,128.58131434406513
pw_033,gene_07,treatment,8,112.31657352427983
pw_034,gene_07,ctrl,1,50.490816608219944
pw_034,gene_07,ctrl,2,36.8447040569635
pw_034,gene_07,ctrl,3,34.883721768542415
pw_034,gene_07,ctrl,4,76.69430931180904
pw_034,gene_07,ctrl,5,65.47123653970507
pw_034,gene_07,ctrl,6,70.38032548683249
pw_034,gene_07,ctrl,7,54.34867481978732
pw_034,gene_07,ctrl,8,137.32186553355703
pw_034,gene_07,treatment,1,69.48721494768431
pw_034,gene_07,treatment,2,41.53450597869115
pw_034,gene_07,treatment,3,62.58722653409577
pw_034,gene_07,treatment,4,60.488182396003964
pw_034,gene_07,treatment,5,64.39625439703644
pw_034,gene_07,treatment,6,32.72973099669549
pw_034,gene_07,treatment,7,62.22654579955139
pw_034,gene_07,treatment,8,85.96452535917422
pw_035,gene_07,ctrl,1,109.14637298294446
pw_035,gene_07,ctrl,2,141.7396703003368
pw_035,gene_07,ctrl,3,133.38690865593043
pw_035,gene_07,ctrl,4,171.3301930341254
pw_035,gene_07,ctrl,5,125.23364758235783
pw_035,gene_07,ctrl,6,71.70493798126718
pw_035,gene_07,ctrl,7,103.84834612161974
pw_035,gene_07,ctrl,8,109.14103384548561
pw_035,gene_07,treatment,1,90.29162470064982
pw_035,gene_07,treatment,2,51.61717369267731
pw_035,gene_07,treatment,3,129.5553299024454
pw_035,gene_07,treatment,4,129.12172770307313
pw_035,gene_07,treatment,5,119.26664177242397
pw_035,gene_07,treatment,6,93.22372886340457
pw_035,gene_07,treatment,7,125.09387375792734
pw_035,gene_07,treatment,8,69.05596950555292
pw_036,gene_08,ctrl,1,46.298873557979064
pw_036,gene_08,ctrl,2,56.7350323679657
pw_036,gene_08,ctrl,3,54.09933982991806
pw_036,gene_08,ctrl,4,59.88871456005555
pw_036,gene_08,ctrl,5,27.817924907385173
pw_036,gene_08,ctrl,6,38.03434685240527
pw_036,gene_08,ctrl,7,35.69603872452796
pw_036,gene_08,ctrl,8,50.17490675232512
pw_036,gene_08,treatment,1,61.53784731651095
pw_036,gene_08,treatment,2,92.91238561594481
