gene_name,peptide_sequence,treatment_name,seconds,bio_rep,tech_rep,total_area
8c6a0000,429f805c,605734a3,0,3,4,NA
8c6a0000,429f805c,605734a3,150,1,1,NA
8c6a0000,429f805c,605734a3,150,1,2,0.006354662288233205
8c6a0000,429f805c,605734a3,150,1,3,0.007110820558976775
8c6a0000,429f805c,605734a3,150,1,4,NA
8c6a0000,429f805c,605734a3,150,2,1,NA
8c6a0000,429f805c,605734a3,150,2,2,0.016457789122746178
8c6a0000,429f805c,605734a3,150,2,3,0.015065733713253883
8c6a0000,429f805c,605734a3,150,2,4,NA
8c6a0000,429f805c,605734a3,150,3,1,NA
8c6a0000,429f805c,605734a3,150,3,2,0.009386399345404084
8c6a0000,429f805c,605734a3,150,3,3,0.009534348979573472
8c6a0000,429f805c,605734a3,150,3,4,NA
8c6a0000,429f805c,605734a3,300,1,1,NA
8c6a0000,429f805c,605734a3,300,1,2,0.0037062801078384553
8c6a0000,429f805c,605734a3,300,1,3,0.00390618473713128
8c6a0000,429f805c,605734a3,300,1,4,NA
8c6a0000,429f805c,605734a3,300,2,1,NA
8c6a0000,429f805c,605734a3,300,2,2,0.016427362307558875
8c6a0000,429f805c,605734a3,300,2,3,0.01566357349105908
8c6a0000,429f805c,605734a3,300,2,4,NA
8c6a0000,429f805c,605734a3,300,3,1,NA
8c6a0000,429f805c,605734a3,300,3,2,0.013812782666768253
8c6a0000,429f805c,605734a3,300,3,3,0.012203416444135105
8c6a0000,429f805c,605734a3,300,3,4,NA
8c6a0000,429f805c,605734a3,600,1,1,NA
8c6a0000,429f805c,605734a3,600,1,2,0.010459355347476922
8c6a0000,429f805c,605734a3,600,1,3,0.011376003432657628
8c6a0000,429f805c,605734a3,600,1,4,NA
8c6a0000,429f805c,605734a3,600,2,1,NA
8c6a0000,429f805c,605734a3,600,2,2,0.01935369043143563
8c6a0000,429f805c,605734a3,600,2,3,0.018418496025238887
8c6a0000,429f805c,605734a3,600,2,4,NA
8c6a0000,429f805c,605734a3,600,3,1,NA
8c6a0000,429f805c,605734a3,600,3,2,0.017132528999786786
8c6a0000,429f805c,605734a3,600,3,3,0.016176656818924343
8c6a0000,429f805c,605734a3,600,3,4,NA
8c6a0000,1f107d05,665e6428,0,1,1,NA
8c6a0000,1f107d05,665e6428,0,1,2,0.017743391498718317
8c6a0000,1f107d05,665e6428,0,1,3,0.010262689370894997
8c6a0000,1f107d05,665e6428,0,1,4,NA
8c6a0000,1f107d05,665e6428,0,2,1,NA
8c6a0000,1f107d05,665e6428,0,2,2,0.008564461764802496
8c6a0000,1f107d05,665e6428,0,2,3,0.004798226911478271
8c6a0000,1f107d05,665e6428,0,2,4,NA
8c6a0000,1f107d05,665e6428,0,3,1,NA
8c6a0000,1f107d05,665e6428,0,3,2,0.0059830879933408425
8c6a0000,1f107d05,665e6428,0,3,3,0.004251667999563468
8c6a0000,1f107d05,665e6428,0,3,4,NA
8c6a0000,1f107d05,665e6428,150,1,1,NA
8c6a0000,1f107d05,665e6428,150,1,2,0.013949601991479628
8c6a0000,1f107d05,665e6428,150,1,3,0.01000747327018619
8c6a0000,1f107d05,665e6428,150,1,4,NA
8c6a0000,1f107d05,665e6428,150,2,1,NA
8c6a0000,1f107d05,665e6428,150,2,2,0.0037083880188983373
8c6a0000,1f107d05,665e6428,150,2,3,0.003635084833786429
8c6a0000,1f107d05,665e6428,150,2,4,NA
8c6a0000,1f107d05,665e6428,150,3,1,NA
8c6a0000,1f107d05,665e6428,150,3,2,0.005587512868040843
8c6a0000,1f107d05,665e6428,150,3,3,0.003993476895500357
8c6a0000,1f107d05,665e6428,150,3,4,NA
8c6a0000,1f107d05,665e6428,300,1,1,NA
8c6a0000,1f107d05,665e6428,300,1,2,0.009087440832607685
8c6a0000,1f107d05,665e6428,300,1,3,0.006476375878713269
8c6a0000,1f107d05,665e6428,300,1,4,NA
8c6a0000,1f107d05,665e6428,300,2,1,NA
8c6a0000,1f107d05,665e6428,300,2,2,0.002493567451036911
8c6a0000,1f107d05,665e6428,300,2,3,0.0024813643212194
8c6a0000,1f107d05,665e6428,300,2,4,NA
8c6a0000,1f107d05,665e6428,300,3,1,NA
8c6a0000,1f107d05,665e6428,300,3,2,0.0012867557501380703
8c6a0000,1f107d05,665e6428,300,3,3,0.0013300878054322764
8c6a0000,1f107d05,665e6428,300,3,4,NA
8c6a0000,1f107d05,665e6428,600,1,1,NA
8c6a0000,1f107d05,665e6428,600,1,2,0.015608827259326344
8c6a0000,1f107d05,665e6428,600,1,3,0.010217690197727341
8c6a0000,1f107d05,665e6428,600,1,4,NA
8c6a0000,1f107d05,665e6428,600,2,1,NA
8c6a0000,1f107d05,665e6428,600,2,2,0.002359522973550962
8c6a0000,1f107d05,665e6428,600,2,3,0.0023593225042811577
8c6a0000,1f107d05,665e6428,600,2,4,NA
8c6a0000,1f107d05,665e6428,600,3,1,NA
8c6a0000,1f107d05,665e6428,600,3,2,0.0014881402670104248
8c6a0000,1f107d05,665e6428,600,3,3,0.00199693877301277
8c6a0000,1f107d05,665e6428,600,3,4,NA
8c6a0000,1f107d05,605734a3,0,1,1,NA
8c6a0000,1f107d05,605734a3,0,1,2,0.018484062346275063
8c6a0000,1f107d05,605734a3,0,1,3,0.013114456930825438
8c6a0000,1f107d05,605734a3,0,1,4,NA
8c6a0000,1f107d05,605734a3,0,2,1,NA
8c6a0000,1f107d05,605734a3,0,2,2,0.006933860722548185
8c6a0000,1f107d05,605734a3,0,2,3,0.006243851809481294
8c6a0000,1f107d05,605734a3,0,2,4,NA
8c6a0000,1f107d05,605734a3,0,3,1,NA
8c6a0000,1f107d05,605734a3,0,3,2,0.009396294856865444
8c6a0000,1f107d05,605734a3,0,3,3,0.007882332518191662
8c6a0000,1f107d05,605734a3,0,3,4,NA
8c6a0000,1f107d05,605734a3,150,1,1,NA
8c6a0000,1f107d05,605734a3,150,1,2,0.010797125138699851
8c6a0000,1f107d05,605734a3,150,1,3,0.009481031222123088
8c6a0000,1f107d05,605734a3,150,1,4,NA
8c6a0000,1f107d05,605734a3,150,2,1,NA
8c6a0000,1f107d05,605734a3,150,2,2,0.005310825775407348
8c6a0000,1f107d05,605734a3,150,2,3,0.003972735854573985
8c6a0000,1f107d05,605734a3,150,2,4,NA
8c6a0000,1f107d05,605734a3,150,3,1,NA
8c6a0000,1f107d05,605734a3,150,3,2,0.004045356744959704
8c6a0000,1f107d05,605734a3,150,3,3,0.002925387545954549
8c6a0000,1f107d05,605734a3,150,3,4,NA
8c6a0000,1f107d05,605734a3,300,1,1,NA
8c6a0000,1f107d05,605734a3,300,1,2,0.005855904957727243
8c6a0000,1f107d05,605734a3,300,1,3,0.004283842280187914
8c6a0000,1f107d05,605734a3,300,1,4,NA
8c6a0000,1f107d05,605734a3,300,2,1,NA
8c6a0000,1f107d05,605734a3,300,2,2,0.003936386894103908
8c6a0000,1f107d05,605734a3,300,2,3,0.003707924222648759
8c6a0000,1f107d05,605734a3,300,2,4,NA
8c6a0000,1f107d05,605734a3,300,3,1,NA
8c6a0000,1f107d05,605734a3,300,3,2,0.004077216338887682
8c6a0000,1f107d05,605734a3,300,3,3,0.0027256399760388433
8c6a0000,1f107d05,605734a3,300,3,4,NA
8c6a0000,1f107d05,605734a3,600,1,1,NA
8c6a0000,1f107d05,605734a3,600,1,2,0.008176896170900989
8c6a0000,1f107d05,605734a3,600,1,3,0.006224266140596373
8c6a0000,1f107d05,605734a3,600,1,4,NA
8c6a0000,1f107d05,605734a3,600,2,1,NA
8c6a0000,1f107d05,605734a3,600,2,2,0.0035002809681849638
8c6a0000,1f107d05,605734a3,600,2,3,0.003096819934879847
8c6a0000,1f107d05,605734a3,600,2,4,NA
8c6a0000,1f107d05,605734a3,600,3,1,NA
8c6a0000,1f107d05,605734a3,600,3,2,0.0046960824059637165
8c6a0000,1f107d05,605734a3,600,3,3,0.003570329778554714
8c6a0000,1f107d05,605734a3,600,3,4,NA
a7958ff3,5c4a772d,665e6428,0,1,1,NA
a7958ff3,5c4a772d,665e6428,0,1,2,NA
a7958ff3,5c4a772d,665e6428,0,1,3,NA
a7958ff3,5c4a772d,665e6428,0,1,4,NA
a7958ff3,5c4a772d,665e6428,0,2,1,NA
a7958ff3,5c4a772d,665e6428,0,2,2,0.001941397228369332
a7958ff3,5c4a772d,665e6428,0,2,3,NA
a7958ff3,5c4a772d,665e6428,0,2,4,NA
a7958ff3,5c4a772d,665e6428,0,3,1,NA
a7958ff3,5c4a772d,665e6428,0,3,2,8.968064743612722e-4
a7958ff3,5c4a772d,665e6428,0,3,3,NA
a7958ff3,5c4a772d,665e6428,0,3,4,4.4777001433762995e-5
a7958ff3,5c4a772d,665e6428,150,1,1,NA
a7958ff3,5c4a772d,665e6428,150,1,2,NA
a7958ff3,5c4a772d,665e6428,150,1,3,NA
a7958ff3,5c4a772d,665e6428,150,1,4,NA
a7958ff3,5c4a772d,665e6428,150,2,1,NA
a7958ff3,5c4a772d,665e6428,150,2,2,0.0027069399300167244
a7958ff3,5c4a772d,665e6428,150,2,3,NA
a7958ff3,5c4a772d,665e6428,150,2,4,NA
a7958ff3,5c4a772d,665e6428,150,3,1,NA
a7958ff3,5c4a772d,665e6428,150,3,2,5.848501626420975e-4
a7958ff3,5c4a772d,665e6428,150,3,3,NA
a7958ff3,5c4a772d,665e6428,150,3,4,NA
a7958ff3,5c4a772d,665e6428,300,1,1,NA
a7958ff3,5c4a772d,665e6428,300,1,2,NA
a7958ff3,5c4a772d,665e6428,300,1,3,NA
a7958ff3,5c4a772d,665e6428,300,1,4,NA
a7958ff3,5c4a772d,665e6428,300,2,1,NA
a7958ff3,5c4a772d,665e6428,300,2,2,0.0019983505667305534
a7958ff3,5c4a772d,665e6428,300,2,3,NA
a7958ff3,5c4a772d,665e6428,300,2,4,NA
a7958ff3,5c4a772d,665e6428,300,3,1,NA
a7958ff3,5c4a772d,665e6428,300,3,2,8.329554343593867e-4
a7958ff3,5c4a772d,665e6428,300,3,3,NA
a7958ff3,5c4a772d,665e6428,300,3,4,1.3283249625784742e-4
a7958ff3,5c4a772d,665e6428,600,1,1,NA
a7958ff3,5c4a772d,665e6428,600,1,2,NA
a7958ff3,5c4a772d,665e6428,600,1,3,NA
a7958ff3,5c4a772d,665e6428,600,1,4,NA
a7958ff3,5c4a772d,665e6428,600,2,1,NA
a7958ff3,5c4a772d,665e6428,600,2,2,0.001597559218919258
a7958ff3,5c4a772d,665e6428,600,2,3,NA
a7958ff3,5c4a772d,665e6428,600,2,4,NA
a7958ff3,5c4a772d,665e6428,600,3,1,NA
a7958ff3,5c4a772d,665e6428,600,3,2,6.791723492370921e-4
a7958ff3,5c4a772d,665e6428,600,3,3,NA
a7958ff3,5c4a772d,665e6428,600,3,4,4.383764996269132e-4
a7958ff3,5c4a772d,605734a3,0,1,1,NA
a7958ff3,5c4a772d,605734a3,0,1,2,NA
a7958ff3,5c4a772d,605734a3,0,1,3,NA
a7958ff3,5c4a772d,605734a3,0,1,4,NA
a7958ff3,5c4a772d,605734a3,0,2,1,NA
a7958ff3,5c4a772d,605734a3,0,2,2,0.0030377158496565017
a7958ff3,5c4a772d,605734a3,0,2,3,NA
a7958ff3,5c4a772d,605734a3,0,2,4,NA
a7958ff3,5c4a772d,605734a3,0,3,1,NA
a7958ff3,5c4a772d,605734a3,0,3,2,0.004501353809017713
a7958ff3,5c4a772d,605734a3,0,3,3,NA
a7958ff3,5c4a772d,605734a3,0,3,4,0.00364906661091396
a7958ff3,5c4a772d,605734a3,150,1,1,NA
a7958ff3,5c4a772d,605734a3,150,1,2,NA
a7958ff3,5c4a772d,605734a3,150,1,3,NA
a7958ff3,5c4a772d,605734a3,150,1,4,NA
a7958ff3,5c4a772d,605734a3,150,2,1,NA
a7958ff3,5c4a772d,605734a3,150,2,2,0.0023019107394880492
a7958ff3,5c4a772d,605734a3,150,2,3,NA
a7958ff3,5c4a772d,605734a3,150,2,4,NA
a7958ff3,5c4a772d,605734a3,150,3,1,NA
a7958ff3,5c4a772d,605734a3,150,3,2,0.0057997758286871945
a7958ff3,5c4a772d,605734a3,150,3,3,NA
a7958ff3,5c4a772d,605734a3,150,3,4,0.0032507365249081536
a7958ff3,5c4a772d,605734a3,300,1,1,NA
a7958ff3,5c4a772d,605734a3,300,1,2,NA
a7958ff3,5c4a772d,605734a3,300,1,3,NA
a7958ff3,5c4a772d,605734a3,300,1,4,NA
a7958ff3,5c4a772d,605734a3,300,2,1,NA
a7958ff3,5c4a772d,605734a3,300,2,2,0.0022564518340937793
a7958ff3,5c4a772d,605734a3,300,2,3,NA
a7958ff3,5c4a772d,605734a3,300,2,4,NA
a7958ff3,5c4a772d,605734a3,300,3,1,NA
a7958ff3,5c4a772d,605734a3,300,3,2,0.004656790897599077
a7958ff3,5c4a772d,605734a3,300,3,3,NA
a7958ff3,5c4a772d,605734a3,300,3,4,0.0018228475443740394
a7958ff3,5c4a772d,605734a3,600,1,1,NA
a7958ff3,5c4a772d,605734a3,600,1,2,NA
a7958ff3,5c4a772d,605734a3,600,1,3,NA
a7958ff3,5c4a772d,605734a3,600,1,4,NA
a7958ff3,5c4a772d,605734a3,600,2,1,NA
a7958ff3,5c4a772d,605734a3,600,2,2,0.002275017712098258
a7958ff3,5c4a772d,605734a3,600,2,3,NA
a7958ff3,5c4a772d,605734a3,600,2,4,NA
a7958ff3,5c4a772d,605734a3,600,3,1,NA
a7958ff3,5c4a772d,605734a3,600,3,2,0.004475530705026796
a7958ff3,5c4a772d,605734a3,600,3,3,NA
a7958ff3,5c4a772d,605734a3,600,3,4,0.0014040901261198424
299691ed,de7d6b41,665e6428,0,1,1,NA
299691ed,de7d6b41,665e6428,0,1,2,0.004824380157251827
299691ed,de7d6b41,665e6428,0,1,3,0.0051744209007284
299691ed,de7d6b41,665e6428,0,1,4,NA
299691ed,de7d6b41,665e6428,0,2,1,NA
299691ed,de7d6b41,665e6428,0,2,2,0.007428725083001614
299691ed,de7d6b41,665e6428,0,2,3,0.0076033181936508475
299691ed,de7d6b41,665e6428,0,2,4,NA
299691ed,de7d6b41,665e6428,0,3,1,NA
299691ed,de7d6b41,665e6428,0,3,2,0.006932084290497242
299691ed,de7d6b41,665e6428,0,3,3,0.009278552753212483
299691ed,de7d6b41,665e6428,0,3,4,NA
299691ed,de7d6b41,665e6428,150,1,1,NA
299691ed,de7d6b41,665e6428,150,1,2,0.005500014318505706
299691ed,de7d6b41,665e6428,150,1,3,0.004768164838686116
299691ed,de7d6b41,665e6428,150,1,4,NA
299691ed,de7d6b41,665e6428,150,2,1,NA
299691ed,de7d6b41,665e6428,150,2,2,0.00796398668974644
299691ed,de7d6b41,665e6428,150,2,3,0.00703024066044548
299691ed,de7d6b41,665e6428,150,2,4,NA
299691ed,de7d6b41,665e6428,150,3,1,NA
299691ed,de7d6b41,665e6428,150,3,2,0.004636572854430455
299691ed,de7d6b41,665e6428,150,3,3,0.004849645550674537
299691ed,de7d6b41,665e6428,150,3,4,NA
299691ed,de7d6b41,665e6428,300,1,1,NA
299691ed,de7d6b41,665e6428,300,1,2,0.007542981069407433
299691ed,de7d6b41,665e6428,300,1,3,0.007692873946268633
299691ed,de7d6b41,665e6428,300,1,4,NA
299691ed,de7d6b41,665e6428,300,2,1,NA
299691ed,de7d6b41,665e6428,300,2,2,0.007164245435625114
299691ed,de7d6b41,665e6428,300,2,3,0.006983697101390374
299691ed,de7d6b41,665e6428,300,2,4,NA
299691ed,de7d6b41,665e6428,300,3,1,NA
299691ed,de7d6b41,665e6428,300,3,2,0.006016391201537501
299691ed,de7d6b41,665e6428,300,3,3,0.00750182738220264
299691ed,de7d6b41,665e6428,300,3,4,NA
299691ed,de7d6b41,665e6428,600,1,1,NA
299691ed,de7d6b41,665e6428,600,1,2,0.0033426398791076145
299691ed,de7d6b41,665e6428,600,1,3,0.002880582467487728
299691ed,de7d6b41,665e6428,600,1,4,NA
299691ed,de7d6b41,665e6428,600,2,1,NA
299691ed,de7d6b41,665e6428,600,2,2,0.007998412102565565
299691ed,de7d6b41,665e6428,600,2,3,0.007848399031070987
299691ed,de7d6b41,665e6428,600,2,4,NA
299691ed,de7d6b41,665e6428,600,3,1,NA
299691ed,de7d6b41,665e6428,600,3,2,0.005765068532324522
299691ed,de7d6b41,665e6428,600,3,3,0.007171130400122296
299691ed,de7d6b41,665e6428,600,3,4,NA
299691ed,de7d6b41,605734a3,0,1,1,NA
299691ed,de7d6b41,605734a3,0,1,2,0.0056878090343436
299691ed,de7d6b41,605734a3,0,1,3,0.007141016139147503
299691ed,de7d6b41,605734a3,0,1,4,NA
299691ed,de7d6b41,605734a3,0,2,1,NA
299691ed,de7d6b41,605734a3,0,2,2,0.008970298580941678
299691ed,de7d6b41,605734a3,0,2,3,0.006961609080744463
299691ed,de7d6b41,605734a3,0,2,4,NA
299691ed,de7d6b41,605734a3,0,3,1,NA
299691ed,de7d6b41,605734a3,0,3,2,0.005525955377234022
299691ed,de7d6b41,605734a3,0,3,3,0.0064898465630349785
299691ed,de7d6b41,605734a3,0,3,4,NA
299691ed,de7d6b41,605734a3,150,1,1,NA
299691ed,de7d6b41,605734a3,150,1,2,0.0035679080896085934
299691ed,de7d6b41,605734a3,150,1,3,0.0036023523088140716
299691ed,de7d6b41,605734a3,150,1,4,NA
299691ed,de7d6b41,605734a3,150,2,1,NA
299691ed,de7d6b41,605734a3,150,2,2,0.009905126925464048
299691ed,de7d6b41,605734a3,150,2,3,0.007870381192371139
299691ed,de7d6b41,605734a3,150,2,4,NA
299691ed,de7d6b41,605734a3,150,3,1,NA
299691ed,de7d6b41,605734a3,150,3,2,0.0034556564775878166
299691ed,de7d6b41,605734a3,150,3,3,0.0051552867866512505
299691ed,de7d6b41,605734a3,150,3,4,NA
299691ed,de7d6b41,605734a3,300,1,1,NA
299691ed,de7d6b41,605734a3,300,1,2,0.004481393932927376
299691ed,de7d6b41,605734a3,300,1,3,0.00550735913158414
299691ed,de7d6b41,605734a3,300,1,4,NA
299691ed,de7d6b41,605734a3,300,2,1,NA
299691ed,de7d6b41,605734a3,300,2,2,0.009786611583793967
299691ed,de7d6b41,605734a3,300,2,3,0.009083890488210625
299691ed,de7d6b41,605734a3,300,2,4,NA
299691ed,de7d6b41,605734a3,300,3,1,NA
299691ed,de7d6b41,605734a3,300,3,2,0.004865385234921771
299691ed,de7d6b41,605734a3,300,3,3,0.006679765169183125
299691ed,de7d6b41,605734a3,300,3,4,NA
299691ed,de7d6b41,605734a3,600,1,1,NA
299691ed,de7d6b41,605734a3,600,1,2,0.005683479448937169
299691ed,de7d6b41,605734a3,600,1,3,0.0028770447136952236
299691ed,de7d6b41,605734a3,600,1,4,NA
299691ed,de7d6b41,605734a3,600,2,1,NA
299691ed,de7d6b41,605734a3,600,2,2,0.008339346058941051
299691ed,de7d6b41,605734a3,600,2,3,0.008349915062116554
299691ed,de7d6b41,605734a3,600,2,4,NA
299691ed,de7d6b41,605734a3,600,3,1,NA
299691ed,de7d6b41,605734a3,600,3,2,0.004240794487257676
299691ed,de7d6b41,605734a3,600,3,3,0.005243610518688392
299691ed,de7d6b41,605734a3,600,3,4,NA
02d8b880,f1bbb140,665e6428,0,1,1,NA
02d8b880,f1bbb140,665e6428,0,1,2,0.0011122063948838972
02d8b880,f1bbb140,665e6428,0,1,3,3.672724177970397e-4
02d8b880,f1bbb140,665e6428,0,1,4,NA
02d8b880,f1bbb140,665e6428,0,2,1,NA
02d8b880,f1bbb140,665e6428,0,2,2,8.523126409457426e-4
02d8b880,f1bbb140,665e6428,0,2,3,4.7487611806277245e-4
02d8b880,f1bbb140,665e6428,0,2,4,NA
02d8b880,f1bbb140,665e6428,0,3,1,NA
02d8b880,f1bbb140,665e6428,0,3,2,0.00145513053885632
02d8b880,f1bbb140,665e6428,0,3,3,7.538591411153185e-4
02d8b880,f1bbb140,665e6428,0,3,4,NA
02d8b880,f1bbb140,665e6428,150,1,1,NA
02d8b880,f1bbb140,665e6428,150,1,2,6.466115537698322e-4
02d8b880,f1bbb140,665e6428,150,1,3,2.2299654646613045e-4
02d8b880,f1bbb140,665e6428,150,1,4,NA
02d8b880,f1bbb140,665e6428,150,2,1,NA
02d8b880,f1bbb140,665e6428,150,2,2,5.657191425347832e-4
02d8b880,f1bbb140,665e6428,150,2,3,2.661076657419783e-4
02d8b880,f1bbb140,665e6428,150,2,4,NA
02d8b880,f1bbb140,665e6428,150,3,1,NA
02d8b880,f1bbb140,665e6428,150,3,2,9.132035234568045e-4
02d8b880,f1bbb140,665e6428,150,3,3,7.42445060059455e-4
02d8b880,f1bbb140,665e6428,150,3,4,NA
02d8b880,f1bbb140,665e6428,300,1,1,NA
02d8b880,f1bbb140,665e6428,300,1,2,9.008963818899153e-4
02d8b880,f1bbb140,665e6428,300,1,3,3.268608810407401e-4
02d8b880,f1bbb140,665e6428,300,1,4,NA
02d8b880,f1bbb140,665e6428,300,2,1,NA
02d8b880,f1bbb140,665e6428,300,2,2,5.561590712902059e-4
02d8b880,f1bbb140,665e6428,300,2,3,3.3228982911635694e-4
02d8b880,f1bbb140,665e6428,300,2,4,NA
02d8b880,f1bbb140,665e6428,300,3,1,NA
02d8b880,f1bbb140,665e6428,300,3,2,8.668274921552265e-4
02d8b880,f1bbb140,665e6428,300,3,3,2.752959524897681e-4
02d8b880,f1bbb140,665e6428,300,3,4,NA
02d8b880,f1bbb140,665e6428,600,1,1,NA
02d8b880,f1bbb140,665e6428,600,1,2,NA
02d8b880,f1bbb140,665e6428,600,1,3,NA
02d8b880,f1bbb140,665e6428,600,1,4,NA
02d8b880,f1bbb140,665e6428,600,2,1,NA
02d8b880,f1bbb140,665e6428,600,2,2,3.9618967824890455e-4
02d8b880,f1bbb140,665e6428,600,2,3,3.0134081758600035e-4
02d8b880,f1bbb140,665e6428,600,2,4,NA
02d8b880,f1bbb140,665e6428,600,3,1,NA
02d8b880,f1bbb140,665e6428,600,3,2,1.262873295238727e-4
02d8b880,f1bbb140,665e6428,600,3,3,NA
02d8b880,f1bbb140,665e6428,600,3,4,NA
02d8b880,f1bbb140,605734a3,0,1,1,NA
02d8b880,f1bbb140,605734a3,0,1,2,5.973188074145675e-4
02d8b880,f1bbb140,605734a3,0,1,3,NA
02d8b880,f1bbb140,605734a3,0,1,4,NA
02d8b880,f1bbb140,605734a3,0,2,1,NA
02d8b880,f1bbb140,605734a3,0,2,2,0.001152597428257704
02d8b880,f1bbb140,605734a3,0,2,3,3.949362099720919e-4
02d8b880,f1bbb140,605734a3,0,2,4,NA
02d8b880,f1bbb140,605734a3,0,3,1,NA
02d8b880,f1bbb140,605734a3,0,3,2,0.001263517427866665
02d8b880,f1bbb140,605734a3,0,3,3,6.961027411806938e-4
02d8b880,f1bbb140,605734a3,0,3,4,NA
02d8b880,f1bbb140,605734a3,150,1,1,NA
02d8b880,f1bbb140,605734a3,150,1,2,9.56476009629372e-5
02d8b880,f1bbb140,605734a3,150,1,3,NA
02d8b880,f1bbb140,605734a3,150,1,4,NA
02d8b880,f1bbb140,605734a3,150,2,1,NA
02d8b880,f1bbb140,605734a3,150,2,2,5.300874286181485e-4
02d8b880,f1bbb140,605734a3,150,2,3,8.150853065678297e-5
02d8b880,f1bbb140,605734a3,150,2,4,NA
02d8b880,f1bbb140,605734a3,150,3,1,NA
02d8b880,f1bbb140,605734a3,150,3,2,6.764284895080811e-4
02d8b880,f1bbb140,605734a3,150,3,3,2.1210879158026533e-4
02d8b880,f1bbb140,605734a3,150,3,4,NA
02d8b880,f1bbb140,605734a3,300,1,1,NA
02d8b880,f1bbb140,605734a3,300,1,2,2.7510161263415443e-4
02d8b880,f1bbb140,605734a3,300,1,3,NA
02d8b880,f1bbb140,605734a3,300,1,4,NA
02d8b880,f1bbb140,605734a3,300,2,1,NA
02d8b880,f1bbb140,605734a3,300,2,2,8.672820445236968e-4
02d8b880,f1bbb140,605734a3,300,2,3,1.885721985219835e-4
02d8b880,f1bbb140,605734a3,300,2,4,NA
02d8b880,f1bbb140,605734a3,300,3,1,NA
02d8b880,f1bbb140,605734a3,300,3,2,4.071296916235246e-4
02d8b880,f1bbb140,605734a3,300,3,3,2.278200769308677e-4
02d8b880,f1bbb140,605734a3,300,3,4,NA
02d8b880,f1bbb140,605734a3,600,1,1,NA
